recid,eqid,magnitude,region,station_longitude,station_latitude,epi_dist,epi_azimuth,vs30,scaled_deltaW
15387,1113,3.99,CALIFORNIA,-116.417,33.268,115.83625369729108,2.415031501225242,619.0,0.7699727163551827
15388,1113,3.99,CALIFORNIA,-117.36453,35.52495,163.8493454474211,-0.0673885238319195,432.0,-0.2916333012829563
15390,1113,3.99,CALIFORNIA,-118.41502,33.4019,130.34687867068692,-2.150673811516796,505.0,0.2151327841818852
15392,1113,3.99,CALIFORNIA,-117.317,34.093,8.25090048893789,-0.9769373435753824,267.92,-0.0190256085339857
15393,1113,3.99,CALIFORNIA,-115.99,33.655,124.00321476595308,1.9271486058545628,370.0,0.1229610399366389
15394,1113,3.99,CALIFORNIA,-118.33383,34.25353,103.07250861468178,-1.3461769101933452,434.29,-0.3870470665307544
15395,1113,3.99,CALIFORNIA,-117.009,33.65,49.50636233909945,2.687918981292241,576.04,0.9354416911996992
15396,1113,3.99,CALIFORNIA,-118.45505,34.10618,112.0449442689326,-1.5106128412628446,668.72,-2.0475665420107645
15397,1113,3.99,CALIFORNIA,-116.631,33.567,78.08140247256773,2.32670531356064,361.0,1.0244173078938366
15398,1113,3.99,CALIFORNIA,-116.942,32.999,120.02573428142126,2.9050950955561587,611.0,0.7778136349105573
15401,1113,3.99,CALIFORNIA,-118.29381,33.71264,104.2300288772812,-1.934479218961076,393.26,-1.9930779990657896
15402,1113,3.99,CALIFORNIA,-114.827,33.051,250.28721326700293,2.0183631309430288,743.0,-0.8219318130055495
15404,1113,3.99,CALIFORNIA,-117.22921,33.1537,99.57671459894271,3.128765973393511,559.0,-0.0367930593361145
15405,1113,3.99,CALIFORNIA,-116.80574,35.30177,144.37886510709504,0.2790169130582879,679.0,-1.5730012553029418
15406,1113,3.99,CALIFORNIA,-116.335,34.8294,120.0433905347168,0.7640664287962733,726.0,-1.881687900951068
15408,1113,3.99,CALIFORNIA,-118.47403,35.66278,211.25563193724847,-0.5559245869536774,644.0,-2.0478287581717582
15409,1113,3.99,CALIFORNIA,-116.598,33.081,123.1663828516318,2.630771021642679,501.0,0.1792606931279881
15410,1113,3.99,CALIFORNIA,-117.80885,35.98249,220.3745516013068,-0.2337688111840386,623.0,-0.023408983861895
15411,1113,3.99,CALIFORNIA,-116.61266,34.36622,67.77158019591398,1.02636941917522,388.0,0.1250317845130415
15412,1113,3.99,CALIFORNIA,-115.18416,35.13066,223.6110370181319,0.9956708412394096,448.0,-0.7293753125170856
15413,1113,3.99,CALIFORNIA,-118.34156,34.9906,145.01794867866872,-0.7638376152293135,378.0,-0.4421534785169753
15414,1113,3.99,CALIFORNIA,-118.86775,34.80762,171.29447978317177,-1.051045423023286,303.0,-0.5455616491836335
15415,1113,3.99,CALIFORNIA,-117.69629,34.93439,106.43537964747924,-0.3997527251724856,680.05,-0.1895274518937316
15416,1113,3.99,CALIFORNIA,-117.68212,35.47954,163.45485842500813,-0.2463701874540866,511.0,0.2108579614458529
15417,1113,3.99,CALIFORNIA,-117.36683,34.3656,36.67662061200616,-0.3160610943482292,365.0,0.0548773458016667
15418,1113,3.99,CALIFORNIA,-116.369,33.818,84.84280378260286,1.8766181304371103,338.28,-0.1171921994057183
15419,1113,3.99,CALIFORNIA,-117.562,34.005,29.91628335119216,-1.742138515142713,335.43,-0.4058648739600616
15420,1113,3.99,CALIFORNIA,-117.48901,36.05799,223.7433937026346,-0.0992873989710857,760.0,-1.6895463989022184
15421,1113,3.99,CALIFORNIA,-116.968,33.808,37.0802967304512,2.3850023748960365,244.0,-0.0647887360911159
15422,1113,3.99,CALIFORNIA,-117.195,33.6,50.264915700050594,3.0530273341644767,622.32,1.8362000229066395
15423,1113,3.99,CALIFORNIA,-118.05832,34.22362,77.5987556383353,-1.31806805725335,760.0,0.6349256986925188
15424,1113,3.99,CALIFORNIA,-114.61881,34.76759,253.99100224554385,1.2397878180730266,401.0,0.7872938389400824
15425,1113,3.99,CALIFORNIA,-117.92372,33.94539,63.98817869578811,-1.7522883384672427,414.77,-0.5515957056958797
15426,1113,3.99,CALIFORNIA,-116.93,32.608,162.71680407109088,2.960080392697186,489.0,0.7014039762784006
